q-id,situation,model,ekman,complex,pred_score,exp_score,evaluator
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-1
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,2,1,evaluator-2
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,3,2,evaluator-3
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-4
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-5
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-6
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-7
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,2,2,evaluator-8
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,2,2,evaluator-9
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,1,1,evaluator-10
17,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,llama,anger,angry,4,4,evaluator-11
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,2,evaluator-1
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,1,evaluator-2
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,1,evaluator-3
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,2,2,evaluator-4
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,2,evaluator-5
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,1,evaluator-6
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,2,evaluator-7
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,1,1,evaluator-8
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,2,2,evaluator-9
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,2,1,evaluator-10
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",gemma,anger,contempt,4,3,evaluator-11
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-1
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,3,1,evaluator-2
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,2,2,evaluator-3
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-4
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-5
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-6
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-7
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,2,2,evaluator-8
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-9
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,1,1,evaluator-10
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",mixtral,fear,scared,4,3,evaluator-11
